Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,date_parsed
4/28/2015,350.00,/,/,350.00,0.00,0,0,0,2015-04-28
4/29/2015,350.00,/,/,350.00,0.00,0,0,0,2015-04-29
4/30/2015,350.00,/,/,350.00,0.00,0,0,0,2015-04-30
5/4/2015,350.00,/,/,350.00,0.00,0,0,0,2015-05-04
5/5/2015,350.00,/,/,350.00,0.00,0,0,0,2015-05-05
5/6/2015,350.00,/,/,350.00,0.00,0,0,0,2015-05-06
5/7/2015,350.00,/,/,350.00,0.00,0,0,0,2015-05-07
5/8/2015,350.00,/,/,350.00,0.00,0,0,0,2015-05-08
5/11/2015,350.00,/,/,350.00,0.00,0,0,0,2015-05-11
5/12/2015,350.00,/,/,350.00,0.00,0,0,0,2015-05-12
5/13/2015,350.00,/,/,350.00,0.00,0,0,0,2015-05-13
5/14/2015,350.00,/,/,350.00,0.00,0,0,0,2015-05-14
5/15/2015,350.00,/,/,350.00,0.00,0,0,0,2015-05-15
5/18/2015,350.00,/,/,350.00,0.00,0,0,0,2015-05-18
5/19/2015,350.00,/,/,350.00,0.00,0,0,0,2015-05-19
5/20/2015,350.00,/,/,350.00,0.00,0,0,0,2015-05-20
5/21/2015,350.00,/,/,350.00,0.00,0,0,0,2015-05-21
5/22/2015,350.00,/,/,350.00,0.00,0,0,0,2015-05-22
5/26/2015,350.00,/,/,350.00,0.00,0,0,0,2015-05-26
5/27/2015,350.00,/,/,350.00,0.00,0,0,0,2015-05-27
5/28/2015,350.00,/,/,350.00,0.00,0,0,0,2015-05-28
6/1/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-01
6/2/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-02
6/3/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-03
6/4/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-04
6/5/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-05
6/8/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-08
6/9/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-09
6/10/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-10
6/11/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-11
6/12/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-12
6/15/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-15
6/16/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-16
6/17/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-17
6/18/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-18
6/19/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-19
6/22/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-22
6/23/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-23
6/24/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-24
6/25/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-25
6/26/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-26
6/29/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-29
6/30/2015,350.00,/,/,350.00,0.00,0,0,0,2015-06-30
7/1/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-01
7/2/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-02
7/3/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-03
7/6/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-06
7/7/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-07
7/8/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-08
7/9/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-09
7/10/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-10
7/13/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-13
7/14/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-14
